idx,n,steps,inTrust,outTrust,epsilon,sigma,evidenceWeight,truth,CA_spec,EA_spec,avg,std,delta
63,200,365,1.2,0.4,0.02,0,0.05,0.7,0.9),N(0.6,0.6999999985151376,9.867878089448544e-17,5.551115123125783e-16
64,200,365,1.2,0.4,0.02,0,0.05,0.7,0.9),0.15),0.6999999985781616,1.4564670535051168e-15,5.551115123125783e-16
65,200,365,1.2,0.4,0.02,0.01,0.02,0.6,0.3,0.3,0.6036737321390521,0.031080958295491814,0.17808900528195226
66,200,365,1.2,0.4,0.02,0.01,0.02,0.6,0.3,0.8,0.5998725774735103,0.03384433178854736,0.2205671727861953
67,200,365,1.2,0.4,0.02,0.01,0.02,0.6,0.3,N(0.6,0.6042571802476702,0.030620020337718473,0.19206097402770494
68,200,365,1.2,0.4,0.02,0.01,0.02,0.6,0.3,0.15),0.6011173343064043,0.0269168122010394,0.12583801077813817
69,200,365,1.2,0.4,0.02,0.01,0.02,0.6,0.6,0.3,0.6040510354036359,0.015715603970567375,0.13870282838237413
70,200,365,1.2,0.4,0.02,0.01,0.02,0.6,0.6,0.8,0.6000672670115224,0.016943764227080854,0.10093869137987765
71,200,365,1.2,0.4,0.02,0.01,0.02,0.6,0.6,N(0.6,0.5989869015657276,0.016126214697767868,0.10843269865091276
72,200,365,1.2,0.4,0.02,0.01,0.02,0.6,0.6,0.15),0.6075055031295201,0.014580896453685396,0.119944867770436
73,200,365,1.2,0.4,0.02,0.01,0.02,0.6,U(0.4,0.3,0.602364815627663,0.01820558245179338,0.08365217055343732
74,200,365,1.2,0.4,0.02,0.01,0.02,0.6,U(0.4,0.8,0.601143485879917,0.016821724266646004,0.10291719221971185
75,200,365,1.2,0.4,0.02,0.01,0.02,0.6,U(0.4,N(0.6,0.6051138309192929,0.0199187946253289,0.11940265442012699
76,200,365,1.2,0.4,0.02,0.01,0.02,0.6,U(0.4,0.15),0.602740682075963,0.01992049414785095,0.15193465683234564
77,200,365,1.2,0.4,0.02,0.01,0.02,0.6,0.9),0.3,0.5941009556663308,0.018475333318184083,0.1268967095255621
78,200,365,1.2,0.4,0.02,0.01,0.02,0.6,0.9),0.8,0.5951471887900976,0.01982533088270088,0.11473077304461243
79,200,365,1.2,0.4,0.02,0.01,0.02,0.6,0.9),N(0.6,0.5970557804698028,0.019296555141077584,0.09695158992180541
80,200,365,1.2,0.4,0.02,0.01,0.02,0.6,0.9),0.15),0.6023977557105562,0.017806963220223113,0.08613074333460047
81,200,365,1.2,0.4,0.02,0.01,0.02,0.7,0.3,0.3,0.6975882602462851,0.028250191234141204,0.2473131874332185
